name,freq,rank
org.apache.avro.Schema_java,39,1
org.apache.avro.generic.GenericData_java,37,2
org.apache.avro.reflect.ReflectData_java,33,3
org.apache.avro.TestSchema_java,31,4
org.apache.avro.TestReflect_java,21,5
org.apache.avro.generic.TestGenericData_java,21,5
org.apache.avro.specific.SpecificData_java,15,7
org.apache.avro.io.parsing.Symbol_java,14,8
org.apache.avro.generic.GenericDatumReader_java,14,8
org.apache.avro.reflect.ReflectDatumWriter_java,12,10
org.apache.avro.file.DataFileWriter_java,12,10
org.apache.avro.io.JsonDecoder_java,10,12
org.apache.avro.reflect.ReflectDatumReader_java,10,12
org.apache.avro.TestProtocolSpecific_java,10,12
org.apache.avro.io.parsing.ResolvingGrammarGenerator_java,10,12
org.apache.avro.TestDataFile_java,9,16
org.apache.avro.specific.SpecificCompiler_java,8,17
org.apache.avro.io.TestResolvingIOResolving_java,8,17
org.apache.avro.ipc.Responder_java,8,17
org.apache.avro.ipc.Requestor_java,8,17
org.apache.avro.io.JsonEncoder_java,7,21
org.apache.avro.Protocol_java,7,21
org.apache.avro.TestProtocolReflect_java,7,21
org.apache.avro.generic.GenericDatumWriter_java,7,21
org.apache.avro.specific.TestSpecificData_java,7,21
org.apache.avro.specific.SpecificRecordBase_java,6,26
org.apache.avro.specific.SpecificDatumReader_java,6,26
org.apache.avro.io.parsing.JsonGrammarGenerator_java,5,28
org.apache.avro.io.ResolvingDecoder_java,5,28
org.apache.avro.file.DataFileReader_java,5,28
org.apache.avro.specific.SpecificResponder_java,5,28
org.apache.avro.specific.SpecificDatumWriter_java,5,28
org.apache.avro.TestDataFileReflect_java,4,33
org.apache.avro.io.BinaryDecoder_java,4,33
org.apache.avro.TestProtocolHttp_java,4,33
org.apache.avro.BarRecord_java,4,33
org.apache.avro.file.DataFileStream_java,4,33
org.apache.avro.io.parsing.Parser_java,4,33
org.apache.avro.io.TestEncoders_java,4,33
org.apache.avro.util.Utf8_java,4,33
org.apache.avro.TestProtocolGeneric_java,4,33
org.apache.avro.specific.SpecificRequestor_java,4,33
org.apache.avro.ipc.RPCContext_java,3,43
org.apache.avro.tool.TestDataFileTools_java,3,43
org.apache.avro.io.TestResolvingIO_java,3,43
org.apache.avro.io.ValidatingDecoder_java,3,43
org.apache.avro.AvroTestUtil_java,3,43
org.apache.avro.reflect.ReflectResponder_java,3,43
org.apache.avro.generic.TestGenericDatumWriter_java,3,43
org.apache.avro.io.parsing.SkipParser_java,3,43
org.apache.avro.tool.JsonToBinaryFragmentTool_java,3,43
org.apache.avro.io.parsing.ValidatingGrammarGenerator_java,3,43
org.apache.avro.io.TestValidatingIO_java,3,43
org.apache.avro.tool.Main_java,3,43
org.apache.avro.io.BlockingBinaryEncoder_java,3,43
org.apache.avro.specific.TestSpecificCompiler_java,3,43
org.apache.avro.io.TestBinaryDecoder_java,3,43
org.apache.avro.tool.BinaryFragmentToJsonTool_java,3,43
