name,bugfreq,bugrank
org.apache.avro.ipc.Transceiver_java,8,86
org.apache.avro.ipc.Requestor_java,34,16
org.apache.avro.generic.GenericRequestor_java,9,79
org.apache.avro.specific.SpecificRequestor_java,14,42
org.apache.avro.ipc.LocalTransceiver_java,0,0
org.apache.avro.ipc.SocketServer_java,14,42
org.apache.avro.ipc.SocketTransceiver_java,12,51
org.apache.avro.ipc.HttpServer_java,6,102
org.apache.avro.ipc.HttpTransceiver_java,12,51
org.apache.avro.ipc.ResponderServlet_java,0,0
org.apache.avro.reflect.ReflectRequestor_java,10,70
org.apache.avro.TestProtocolSpecific_java,38,8
org.apache.avro.TestProtocolReflect_java,16,35
org.apache.avro.TestProtocolReflectMeta_java,8,86
org.apache.avro.TestNamespaceReflect_java,6,102
org.apache.avro.TestNamespaceSpecific_java,11,59
org.apache.avro.ipc.stats.TestStatsPluginAndServlet_java,10,70
org.apache.avro.ipc.stats.StatsServlet_java,7,94
org.apache.avro.TestBulkData_java,9,79
org.apache.avro.ipc.stats.StatsPluginOverhead_java,0,0
org.apache.avro.TestProtocolGenericMeta_java,6,102
org.apache.avro.TestProtocolGeneric_java,27,21
org.apache.avro.ipc.TestLocalTransceiver_java,0,0
org.apache.avro.TestProtocolDatagram_java,8,86
org.apache.avro.ipc.DatagramTransceiver_java,0,0
org.apache.avro.ipc.DatagramServer_java,5,109
