name,freq,rank
org.apache.hadoop.hive.conf.HiveConf_java,499,1
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,424,2
org.apache.hadoop.hive.metastore.HiveMetaStore_java,171,3
org.apache.hadoop.hive.ql.exec.Utilities_java,167,4
org.apache.hadoop.hive.ql.metadata.Hive_java,165,5
org.apache.hadoop.hive.ql.exec.DDLTask_java,161,6
org.apache.hadoop.hive.metastore.ObjectStore_java,143,7
org.apache.hadoop.hive.ql.Driver_java,141,8
org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer_java,110,9
org.apache.hadoop.hive.ql.exec.vector.VectorizationContext_java,103,10
org.apache.hadoop.hive.ql.optimizer.physical.Vectorizer_java,103,10
org.apache.hadoop.hive.ql.QTestUtil_java,101,12
org.apache.hadoop.hive.ql.session.SessionState_java,99,13
org.apache.hadoop.hive.ql.io.orc.OrcInputFormat_java,93,14
org.apache.hadoop.hive.ql.optimizer.GenMapRedUtils_java,84,15
org.apache.hadoop.hive.ql.exec.tez.DagUtils_java,82,16
org.apache.hadoop.hive.metastore.txn.TxnHandler_java,82,16
org.apache.hadoop.hive.metastore.HiveMetaStoreClient_java,76,18
org.apache.hadoop.hive.shims.Hadoop23Shims_java,74,19
org.apache.hadoop.hive.ql.exec.FileSinkOperator_java,73,20
org.apache.hadoop.hive.ql.parse.CalcitePlanner_java,73,20
org.apache.hadoop.hive.ql.ErrorMsg_java,71,22
org.apache.hadoop.hive.ql.exec.tez.TezTask_java,71,22
org.apache.hadoop.hive.ql.exec.MapJoinOperator_java,68,24
org.apache.hadoop.hive.ql.exec.Operator_java,66,25
org.apache.hadoop.hive.ql.io.orc.TestInputOutputFormat_java,63,26
org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer_java,60,27
org.apache.hadoop.hive.ql.exec.FunctionRegistry_java,60,27
org.apache.hadoop.hive.ql.io.HiveInputFormat_java,59,29
org.apache.hadoop.hive.metastore.MetaStoreDirectSql_java,59,29
org.apache.hive.jdbc.TestJdbcDriver2_java,58,31
org.apache.hadoop.hive.cli.CliDriver_java,56,32
org.apache.hadoop.hive.ql.optimizer.ConvertJoinMapJoin_java,56,32
org.apache.hadoop.hive.ql.parse.TezCompiler_java,54,34
org.apache.hive.beeline.BeeLine_java,53,35
org.apache.hadoop.hive.llap.io.encoded.OrcEncodedDataReader_java,52,36
org.apache.hadoop.hive.shims.HadoopShims_java,49,37
org.apache.hadoop.hive.ql.io.orc.RecordReaderImpl_java,48,38
org.apache.hadoop.hive.metastore.MetaStoreUtils_java,48,38
org.apache.hadoop.hive.ql.exec.MoveTask_java,47,40
org.apache.hive.service.server.HiveServer2_java,47,40
org.apache.hadoop.hive.ql.parse.TypeCheckProcFactory_java,46,42
org.apache.hadoop.hive.metastore.HiveAlterHandler_java,46,42
org.apache.hadoop.hive.ql.exec.tez.TezJobMonitor_java,45,44
org.apache.hive.jdbc.HiveConnection_java,45,44
org.apache.hadoop.hive.ql.exec.GroupByOperator_java,45,44
org.apache.hadoop.hive.ql.exec.MapOperator_java,45,44
org.apache.hive.service.cli.session.HiveSessionImpl_java,44,48
org.apache.hadoop.hive.ql.exec.tez.TezSessionState_java,44,48
org.apache.hadoop.hive.ql.plan.PlanUtils_java,44,48
org.apache.hadoop.hive.ql.exec.mr.ExecDriver_java,42,51
org.apache.hadoop.hive.ql.TestTxnCommands2_java,41,52
org.apache.hadoop.hive.ql.exec.ExplainTask_java,41,52
org.apache.hadoop.hive.ql.optimizer.stats.annotation.StatsRulesProcFactory_java,41,52
org.apache.hadoop.hive.ql.io.AcidUtils_java,40,55
org.apache.hadoop.hive.ql.io.orc.encoded.EncodedReaderImpl_java,40,55
org.apache.hadoop.hive.common.FileUtils_java,39,57
org.apache.hadoop.hive.ql.exec.vector.VectorGroupByOperator_java,39,57
org.apache.hadoop.hive.ql.lockmgr.DbTxnManager_java,39,57
org.apache.hadoop.hive.ql.parse.LoadSemanticAnalyzer_java,39,57
org.apache.hadoop.hive.ql.optimizer.MapJoinProcessor_java,38,61
org.apache.hadoop.hive.ql.exec.ReduceSinkOperator_java,38,61
org.apache.hive.service.cli.operation.SQLOperation_java,37,63
