root_id,leading_class(lc),drspace_size,bug_freq, bug_rank,bsc,dsb,nonduplicate_size,cover_up_to
1,org.apache.hadoop.hive.ql.exec.Task_java,190,71,82,0.05952813,0.86315787,190,0.05952811241149902
2,org.apache.hadoop.hive.ql.exec.vector.expressions.VectorExpression_java,169,22,487,0.058439203,0.9526627,358,0.11760437488555908
3,org.apache.hadoop.hive.serde2.objectinspector.ObjectInspectorFactory_java,198,28,355,0.054809436,0.7626263,543,0.16769510507583618
4,org.apache.hadoop.hive.shims.ShimLoader_java,172,30,311,0.052268602,0.8372093,683,0.21016335487365723
5,org.apache.hadoop.hive.ql.exec.UDFArgumentException_java,196,7,1897,0.049727768,0.6989796,842,0.2497277855873108
6,org.apache.hadoop.hive.ql.plan.Explain_java,163,13,931,0.046098005,0.7791411,979,0.286751389503479
7,org.apache.hadoop.hive.serde2.io.DoubleWritable_java,171,6,2117,0.043920144,0.7076023,1097,0.3161524534225464
8,org.apache.hadoop.hive.ql.lib.Node_java,187,6,2117,0.054446463,0.80213904,1207,0.34555351734161377
9,org.apache.hadoop.hive.metastore.api.Partition_java,154,47,159,0.039201453,0.7012987,1329,0.3738657236099243
10,org.apache.hadoop.hive.common.classification.InterfaceAudience_java,117,0,0,0.029764066,0.7008547,1425,0.39782214164733887
11,org.apache.hadoop.hive.serde2.lazy.ByteArrayRef_java,135,0,0,0.027223231,0.5555556,1543,0.4203266501426697
12,org.apache.hadoop.hive.serde2.typeinfo.PrimitiveTypeInfo_java,169,9,1468,0.05045372,0.8224852,1618,0.4413793087005615
13,org.apache.hadoop.hive.ql.processors.CommandProcessorResponse_java,86,15,782,0.027586207,0.88372093,1672,0.4584392309188843
14,org.apache.hive.service.cli.HiveSQLException_java,49,9,1468,0.015607986,0.877551,1716,0.47223228216171265
15,org.apache.hadoop.hive.serde2.objectinspector.ObjectInspectorUtils_java,156,75,76,0.046098005,0.8141026,1765,0.48566246032714844
16,org.apache.hadoop.hive.ql.metadata.Partition_java,138,67,90,0.04246824,0.84782606,1805,0.49800360202789307
17,org.apache.hadoop.hive.serde2.io.DateWritable_java,135,13,931,0.042831216,0.8740741,1846,0.5092558860778809
18,org.apache.hadoop.hive.ql.CompilationOpContext_java,158,0,0,0.053720508,0.93670887,1881,0.5205081701278687
19,org.apache.hadoop.hive.ql.io.HiveKey_java,45,9,1468,0.015245009,0.93333334,1912,0.5306714773178101
20,org.apache.hadoop.hive.ql.optimizer.calcite.HiveCalciteUtil_java,34,34,244,0.010889292,0.88235295,1943,0.5404719114303589
21,org.apache.hadoop.hive.metastore.MetaStoreUtils_java,134,146,23,0.042831216,0.880597,1971,0.5491833090782166
22,org.apache.hadoop.hive.llap.daemon.rpc.LlapDaemonProtocolProtos_java,31,26,389,0.008711434,0.7741935,2002,0.5578947067260742
