name,bugfreq,bugrank
org.apache.hive.service.cli.HiveSQLException_java,9,1468
org.apache.hive.service.cli.thrift.TStatusCode_java,5,2390
org.apache.hive.service.cli.thrift.TStatus_java,14,844
org.apache.hive.jdbc.Utils_java,53,135
org.apache.hive.service.cli.OperationState_java,11,1145
org.apache.hive.service.cli.OperationStatus_java,7,1897
org.apache.hive.service.cli.thrift.ThriftCLIService_java,70,83
org.apache.hive.service.auth.HiveAuthFactory_java,37,221
org.apache.hive.service.cli.session.HiveSession_java,17,654
org.apache.hive.service.cli.operation.Operation_java,56,120
org.apache.hive.service.cli.session.HiveSessionHook_java,0,0
org.apache.hive.service.cli.session.HiveSessionProxy_java,5,2390
org.apache.hive.service.cli.session.HiveSessionImplwithUGI_java,28,355
org.apache.hive.service.cli.ICLIService_java,16,713
org.apache.hive.service.cli.CLIService_java,59,111
org.apache.hive.service.cli.session.SessionManager_java,55,122
org.apache.hive.service.cli.operation.MetadataOperation_java,12,1040
org.apache.hive.service.cli.CLIServiceUtils_java,0,0
org.apache.hive.service.cli.operation.GetFunctionsOperation_java,11,1145
org.apache.hive.service.cli.operation.HiveCommandOperation_java,28,355
org.apache.hive.service.cli.operation.SQLOperation_java,82,67
org.apache.hive.service.cli.operation.ExecuteStatementOperation_java,12,1040
org.apache.hive.service.cli.operation.GetColumnsOperation_java,17,654
org.apache.hadoop.hive.ql.metadata.TableIterable_java,0,0
org.apache.hive.service.cli.operation.GetTypeInfoOperation_java,9,1468
org.apache.hive.service.cli.operation.GetSchemasOperation_java,12,1040
org.apache.hive.service.cli.operation.GetCatalogsOperation_java,8,1688
org.apache.hive.service.cli.operation.GetTableTypesOperation_java,9,1468
org.apache.hive.service.cli.operation.GetTablesOperation_java,15,782
org.apache.hive.service.cli.operation.OperationManager_java,43,180
org.apache.hive.service.cli.session.HiveSessionImpl_java,90,60
org.apache.hive.service.cli.CLIServiceClient_java,8,1688
org.apache.hive.service.cli.thrift.ThriftCLIServiceClient_java,21,513
org.apache.hive.service.cli.operation.OperationLoggingAPITestBase_java,0,0
org.apache.hive.jdbc.TestNoSaslAuth_java,0,0
org.apache.hive.jdbc.TestMultiSessionsHS2WithLocalClusterSpark_java,8,1688
org.apache.hive.service.cli.EmbeddedCLIServiceClient_java,14,844
org.apache.hive.minikdc.TestJdbcWithMiniKdc_java,14,844
org.apache.hive.jdbc.TestJdbcWithLocalClusterSpark_java,9,1468
org.apache.hive.jdbc.TestJdbcWithMiniMr_java,7,1897
org.apache.hive.service.cli.session.TestPluggableHiveSessionImpl_java,9,1468
org.apache.hive.service.cli.session.TestSessionHooks_java,7,1897
org.apache.hive.service.cli.session.TestHiveSessionImpl_java,14,844
org.apache.hive.service.cli.TestHiveSQLException_java,6,2117
org.apache.hive.service.cli.CLIServiceTest_java,28,355
org.apache.hive.service.cli.TestEmbeddedThriftBinaryCLIService_java,6,2117
org.apache.hive.jdbc.miniHS2.TestHiveServer2SessionTimeout_java,0,0
org.apache.hive.service.cli.TestRetryingThriftCLIServiceClient_java,9,1468
org.apache.hive.service.cli.thrift.RetryingThriftCLIServiceClient_java,15,782
